id	id_shelf	level					
0	0	1					
1	0	1					
2	0	2					
3	0	2					
4	0	2					
5	0	2					
6	0	1					
7	0	1					
8	0	1					
9	0	1					
10	0	1					
11	0	2					
12	0	1					
13	0	1					
14	0	2					
15	0	2					
16	0	2					
17	0	2					
18	0	1					
19	0	1					
20	0	1					
21	0	1					
22	0	1					
23	0	2					
24	0	1					
25	0	1					
26	0	2					
27	0	2					
28	0	2					
29	0	2					
30	0	1					
31	0	1					
32	0	1					
33	0	1					
34	0	1					
35	0	2					
36	0	1					
37	0	1					
38	0	2					
39	0	2					
40	0	2					
41	0	2					
42	1	1					
43	1	1					
44	1	1					
45	1	1					
46	1	1					
47	1	2					
48	1	1					
49	1	1					
50	1	2					
51	1	2					
52	1	2					
53	1	2					
54	1	1					
55	1	1					
56	1	1					
57	1	1					
58	1	1					
59	1	2					
60	1	1					
61	1	1					
62	1	2					
63	1	2					
64	1	2					
65	1	2					
66	1	1					
67	1	1					
68	1	1					
69	1	1					
70	1	1					
71	1	2					
72	1	1					
73	1	1					
74	1	2					
75	1	2					
76	1	2					
77	1	2					
78	1	1					
79	1	1					
80	1	1					
81	1	1					
82	1	1					
83	1	2					
84	2	1					
85	2	1					
86	2	2					
87	2	2					
88	2	2					
89	2	2					
90	2	1					
91	2	1					
92	2	1					
93	2	1					
94	2	1					
95	2	2					
96	2	1					
97	2	1					
98	2	2					
99	2	2					
100	2	2					
101	2	2					
102	2	1					
103	2	1					
104	2	1					
105	2	1					
106	2	1					
107	2	2					
108	2	1					
109	2	1					
110	2	2					
111	2	2					
112	2	2					
113	2	2					
114	2	1					
115	2	1					
116	2	1					
117	2	1					
118	2	1					
119	2	2					
120	2	1					
121	2	1					
122	2	2					
123	2	2					
124	2	2					
125	2	2					
126	3	1					
127	3	1					
128	3	1					
129	3	1					
130	3	1					
131	3	2					
132	3	1					
133	3	1					
134	3	2					
135	3	2					
136	3	2					
137	3	2					
138	3	1					
139	3	1					
140	3	1					
141	3	1					
142	3	1					
143	3	2					
144	3	1					
145	3	1					
146	3	2					
147	3	2					
148	3	2					
149	3	2					
150	3	1					
151	3	1					
152	3	1					
153	3	1					
154	3	1					
155	3	2					
156	3	1					
157	3	1					
158	3	2					
159	3	2					
160	3	2					
161	3	2					
162	3	1					
163	3	1					
164	3	1					
165	3	1					
166	3	1					
167	3	2					
168	4	1					
169	4	1					
170	4	2					
171	4	2					
172	4	2					
173	4	2					
174	4	1					
175	4	1					
176	4	1					
177	4	1					
178	4	1					
179	4	2					
180	4	1					
181	4	1					
182	4	2					
183	4	2					
184	4	2					
185	4	2					
186	4	1					
187	4	1					
188	4	1					
189	4	1					
190	4	1					
191	4	2					
192	4	1					
193	4	1					
194	4	2					
195	4	2					
196	4	2					
197	4	2					
198	4	1					
199	4	1					
200	4	1					
201	4	1					
202	4	1					
203	4	2					
204	4	1					
205	4	1					
206	4	2					
207	4	2					
208	4	2					
209	4	2					
210	5	1					
211	5	1					
212	5	1					
213	5	1					
214	5	1					
215	5	2					
216	5	1					
217	5	1					
218	5	2					
219	5	2					
220	5	2					
221	5	2					
222	5	1					
223	5	1					
224	5	1					
225	5	1					
226	5	1					
227	5	2					
228	5	1					
229	5	1					
230	5	2					
231	5	2					
232	5	2					
233	5	2					
234	5	1					
235	5	1					
236	5	1					
237	5	1					
238	5	1					
239	5	2					
240	5	1					
241	5	1					
242	5	2					
243	5	2					
244	5	2					
245	5	2					
246	5	1					
247	5	1					
248	5	1					
249	5	1					
250	5	1					
251	5	2					
252	6	1					
253	6	1					
254	6	2					
255	6	2					
256	6	2					
257	6	2					
258	6	1					
259	6	1					
260	6	1					
261	6	1					
262	6	1					
263	6	2					
264	6	1					
265	6	1					
266	6	2					
267	6	2					
268	6	2					
269	6	2					
270	6	1					
271	6	1					
272	6	1					
273	6	1					
274	6	1					
275	6	2					
276	6	1					
277	6	1					
278	6	2					
279	6	2					
280	6	2					
281	6	2					
282	6	1					
283	6	1					
284	6	1					
285	6	1					
286	6	1					
287	6	2					
288	6	1					
289	6	1					
290	6	2					
291	6	2					
292	6	2					
293	6	2					
294	7	1					
295	7	1					
296	7	1					
297	7	1					
298	7	1					
299	7	2					
300	7	1					
301	7	1					
302	7	2					
303	7	2					
304	7	2					
305	7	2					
306	7	1					
307	7	1					
308	7	1					
309	7	1					
310	7	1					
311	7	2					
312	7	1					
313	7	1					
314	7	2					
315	7	2					
316	7	2					
317	7	2					
318	7	1					
319	7	1					
320	7	1					
321	7	1					
322	7	1					
323	7	2					
324	7	1					
325	7	1					
326	7	2					
327	7	2					
328	7	2					
329	7	2					
330	7	1					
331	7	1					
332	7	1					
333	7	1					
334	7	1					
335	7	2					
336	8	1					
337	8	1					
338	8	2					
339	8	2					
340	8	2					
341	8	2					
342	8	1					
343	8	1					
344	8	1					
345	8	1					
346	8	1					
347	8	2					
348	8	1					
349	8	1					
350	8	2					
351	8	2					
352	8	2					
353	8	2					
354	8	1					
355	8	1					
356	8	1					
